Author,Date,Region,Sentence,ModernSentence_1Shot,ModernSentence_3Shot,ModernSentence_5Shot,ModernSentence_7Shot,ModernSentence_NLLB
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò studiosamente di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si riservò deliberatamente di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò deliberatamente di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò di parlare con cura, studiata, all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, si riservò studiosamente di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che io sapevo fossero fatte in Italia.,cose che io sapevo erano fatte in Italia.,cose che io sapevo essere fatte in Italia.,cose che io sapevo essere fatte in Italia.,cose che sapevo fossero fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote d'Ortensio, menò una vita più bassa e più viziosa.","Corbio, nipote di Ortensio, menò una vita più bassa e più viziata.","Corbio, nipote di Ortensio, condusse una vita più bassa e più corrotta.","Corbio, nipote di Ortensio, condusse una vita più bassa e più viziata","Corbio , nipote di Ortensio , ha vissuto la sua vita più bassa e più viziosa ."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Altrettanto uno amante, chiamando meriti alla sua donna, dice molte parole e ragioni, e lei si difende con il suo dire.","Altrettanto uno amante, chiamando meriti alla sua donna, dice molte parole e ragioni, e lei si difende in sua difesa.","Altrettanto uno amante, chiamando meriti alla sua donna, dice molte parole e ragioni, e ella si difende nel suo modo.","Altrettanto un amante, chiamando meriti alla sua donna, dice molte parole e ragioni, e lei si difende a sua volta.","Altre volte un amante chiamando Merzé alla sua donna dice molte parole e ragioni, e lei si difende nel suo dire."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io mi ricordo (ch. 347) che, essendo infuriato, fuggii dalla mia donna. Oh, quanto giorni questi rabbia mi ha tolto!","Io mi ricordo (ch. 347) che, infuriato, mi allontanai dalla mia donna. Oh, quanti giorni questa rabbia mi ha tolto!","Io mi ricordo (capitolo 347) che, essendo infuriato, fuggii dalla mia donna. Oh, quanti giorni questa rabbia mi tolse!","Io mi ricordo che, essendo arrabbiato, mi scapigliai con la mia donna. Oh, quanto giorni di rabbia mi tolse!","Ricordo (c. 347) che, essendo arrabbiato, ho picchiato la mia donna."
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"colui che tu sempre ti dava motivo di dolere, che era amante della tua donna;",colui del quale tu ti sentivi dolere che era innamorato della tua donna;,"colui del quale tu ti servivi per dolere, che era amante della tua donna;","colui che era l'amante della tua donna, di cui ti facevi dolere","Colui di cui ti addoloravi , che era l' amante di tua moglie ."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano già le mogli di coloro della congiura, che la donna non nominava già i nomi.","Ma nessuno sapeva già i nomi delle mogli di coloro che erano coinvolti nella congiura, poiché la donna non nomina ancora i nomi.","Ma non sapevano già le mogli di coloro che erano coinvolti nella congiura, poiché la donna non nominava ancora i nomi.","Ma non sapevano già le mogli di coloro che erano coinvolti nella congiura, perché la donna non nomina ancora i nomi.","Ma non sapevano già i nomi dei cospiratori, perché la donna non li aveva già nominati."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: 'O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano'.","Cresci?  Certamente quando egli si mosse, egli ti disse: ""O fedele mia donna, fai che in mio luogo ti sia raccomandato il nostro ostiere troiano"".","Credevi. Certo, quando [lui] si mosse, [lui] ti disse: 'O fedele mia donna, assicurati che in mio luogo sia raccomandato il nostro ospite troiano'.","Certo, quando Troilo si mosse, disse: 'Oh fedele mia donna, assicurati che in mio posto sia raccomandato il nostro ostello di Troia'.","Creti?  Certo, quando lui si mosse, lui ti disse: 'O fedele mia donna, fai che, nel mio posto, sia raccomandato il nostro ostello di Troia'.","Cretesi? Sicuramente quando si muovevano, ti dicevano: 'O mia fedele donna, fai in modo che il nostro Trojan host ti sia raccomandato al posto mio.'"
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano, fu rimpiazzata la malvagità di una donna con una simile bugia, nel tempo medesimo in cui si trovava questo signore della repubblica, in questo modo:","A Milano fu repressa la malvagità di una donna in un tale comportamento, nel medesimo periodo in cui regnava questo signore della repubblica, in questo modo:","A Milano, la malvagità di una donna fu repressa in un modo simile a questa bugia, proprio in quello stesso periodo in cui questo signore governava la repubblica, in questo modo:","A Milano, la malvagità di una donna fu repressa in modo simile a una bugia, proprio in quel periodo in cui governava questo signore della repubblica, in questo modo:","A Milano fu ripresa la malvagità di una donna nella stessa menzogna, nello stesso tempo di questo signore della repubblica, in questo modo: "
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentavansi dell'iniquità di Appio, e ripiangevano la malavventurata bellezza della pulcella e la necessità del padre.","E lamentavano l'ingiustizia d'Appio, e lamentavano la sventura della giovane donna e la necessità del padre.","E lamentavansi dell'iniquità di Appio, e ripiangevano la malavventurata bellezza della fanciulla e la necessità del padre.","E si lamentavano dell'iniquità di Appio, e lamentavano la povera bellezza della ragazza e la necessità del padre.","E si lamentavano dell'iniquità di Apio, e lamentavano l'infortunata bellezza della pulce e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Nella quale battaglia, certo io ebbi sempre il coraggio di ragionare di pace e sempre mi dolsi che non solo la pace era disprezzata.","Nella quale battaglia, certo io ebbi sempre il coraggio di ragionare di pace e sempre mi dispiaceva che non solo la pace fosse disprezzata,","In quale battaglia, certo io ebbi sempre il coraggio di parlare di pace e sempre mi dispiaceva che la pace non fosse accettata, non solo.","Nella quale battaglia, certo io ebbi sempre il coraggio di discutere di pace e sempre mi dolsi che non solo la pace era rifiutata,","In quella battaglia, certo, ho sempre avuto il coraggio di parlare di pace e mi sono sempre pentito che non solo la pace fosse schifosa,"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda solitamente fa temere per la grande provvidenza, e la prima per l'audacia rende altrui pazzo.","La seconda sollecita talora la grande fortuna a fare temerario, e la prima per l'audacia rende l'altrui animo pazzo.","La seconda sedia talora spaventa per la grande prosperità, e la prima spaventa per l'audacia, rendendo altrui pazzo.","La seconda ombra talora per la grande fortuna fa timoroso, e la prima per l'audacia rende gli altri matti.","La seconda calza talvolta per la grande provvidenza fare timido, e il primo per l'audacia rendere gli altri pazzi."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione lo portò con sé.,Andò nel campo dei Cartaginesi e tutta la legione lo accompagnò.,Andò nel campo dei Cartaginesi e tutta la legione lo seguì.,Andò nel campo dei Cartaginesi e tutta la legione lo seguì con sé.,Andò nel campo dei Cartaginesi e l'intera legione attraversò a secco.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non volle conoscere per nemico. Questa è quella, la quale diede coraggio al profeta Natan a riprendere con grande autorità quel re, che aveva peccato.","Non volle riconoscerlo come nemico. Questa è quella, che diede coraggio al profeta Natan per riprendere con grande autorità quel re, il quale aveva peccato.","Non volle conoscerlo per nemico. Questa è quella, la quale diede coraggio al profeta Natan per richiamare con grande autorità quell'usurpo re, che aveva commesso un peccato.","Non lo volle riconoscere per un nemico. Questa è quella, che fu l'ispiratrice del profeta Natan a riprendere con autorità quel re, che aveva peccato.","Non ha voluto riconoscerlo come nemico. Questa è quella che ha dato il coraggio al profeta Natan di rimproverare con grande autorità il re, che aveva peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e insieme con loro passammo tra i nemici, perciò se alcuno non aveva il coraggio di far questo e si era animato.","le armi e insieme con loro passammo tra i nemici, però se alcuno non aveva il coraggio di fare questo e invece aveva questo animo.","le armi e insieme con loro passavano tra i nemici, perciò se alcuno non aveva il coraggio di farlo e invece aveva questo animo.","Le armi e insieme con loro passarono tra i nemici, però se nessuno aveva il coraggio di farlo, così avevano questo animo.","Le armi e insieme con loro hanno passato tra i nemici, perché se nessuno aveva il coraggio di questo e si avevano questo spirito."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Dove si ragiona che Iob sia interpretato come persona dolente;,Da dove si deriva la ragione che Iob è interpretato come persona dolente;,Da cui si può ragionevolmente dedurre che Iob è interpretato come una persona triste;,E' interpretato Iob come persona dolente.,Dove ragionevolmente Giobbe è interpretato dolente;
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","quello che sopra tutti gli altri perdonasse ai cittadini, e a cui più sicuramente potete credere; poi che egli fu vostro comandante.","Quello che sopra tutti gli altri perdonasse ai cittadini, e a cui più sicuramente potete credere; poi che egli fu vostro comandante.","Quello che avrebbe perdonato a tutti i cittadini e a cui potevate più sicuramente fidare, poi che egli fu vostro comandante.","quello che, per tutti gli altri, perdonava ai cittadini, e a cui potevate più sicuramente credere, poi che egli fu vostro comandante.","Colui che, sopra tutti gli altri, ha perdonato i cittadini, e a cui potete più sicuramente credere; poi è stato il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","In vano si domanda chi questo libro abbia scritto, con ciò sia cosa che fedelmente si debba credere che l'autore di quello sia stato lo Spirito Santo.","Inutilmente si chiede chi abbia scritto questo Libro, in modo che si possa credere fedelmente che l'autore sia stato lo Spirito Santo.","In vano si chiede chi abbia scritto questo Libro, in modo che si possa sapere se ciò che si dice sia fedele, e se l'autore fosse lo Spirito Santo.","In vano si domanda chi abbia scritto questo libro, per sapere se sia qualcosa di fedele da credere, poiché si può affermare che l'autore sia stato lo Spirito Santo.","Invano si chiede chi abbia scritto questo libro, con ciò si deve fidatamente credere che l'Autore di esso fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse assai comune, ciò parrebbe sicuramente molto più incredibile: sicuramente più agevolmente si può credere quello, posto che l'animo umano si avvicina al divino e il mutabile si avvicina all'incomparabile.","Se non fosse stata usata a lungo, ciò parrebbe sicuramente molto più incredibile: infatti, con maggiore facilità si può credere a quello che è più conforme all'uomo, posto che lo spirito umano si avvicina al divino e il mutabile si avvicina all'incomparabile.","Se non fosse troppo comune, ciò sarebbe stato considerato molto più incredibile: certo, perché è più facile credere a quello che è comune, posto che l'animo umano si può facilmente adattare al divino e il mutabile si può facilmente adattare all'incomparabile.","Se non fosse assai comune, questo sarebbe certamente molto più incredibile: è più facile credere a ciò, perché l'animo umano si avvicina al divino e il mutabile si avvicina allo invariabile.","se non fosse molto usata, questo sembrerebbe certamente molto più incredibile: certamente più facilmente si può credere che, dal momento che lo spirito umano al divino, e il mutevole all'immutabile"
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che prendessero la paga dal camerlingo per loro dispensa e immediatamente andassero alla presenza di messer il Papa per contraddire il passaggio dei cavalieri che vengono da Cecilia in Toscana,per cui la paga dovrebbe essere pagata dal camerlingo a loro carico e immedesimamente dovessero recarsi in presenza di messer il Papa per contraddire il passato della morte dei cavalieri che vengono da Cecilia in Toscana.,Che prendessero la paga dal camerlingo per loro dispensa e andassero immediatamente alla presenza del papa per contrastare il passaggio dei cavalieri che vengono da Cecilia in Toscana.,"per cui prendessero la paga dal camerlingo, dispensandoli immediatamente e andassero subito alla presenza del papa, per contraddire il passaggio dei cavalieri che provenivano da Cecilia in Toscana",che prendessero la paga dal camarellino per la loro dispensa et immantenente andassero alla presenza di Messer il papa per contradire il passaggio dei cavalieri che venivano da Cecilia in Toscana
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teo sguardò Achelao con grande meraviglia e disse così: ""O Signor Achelao, io vi prego che voi mi diate a sapere in che modo voi perdeteste","Teseo esaminò Achelao con grande meraviglia e disse così: ""Oh signor Achelao, vi chiedo che mi dite di come avete perso [il vostro] potere.","Teseo lo guardò attentamente, meravigliandosi e disse così: ""O signor Achelao, io vi chiedo che mi dica in che modo voi siete caduto"".","Teseo lo guardò con attenzione, meravigliandosi e disse così: ""Oh signor Achelao, io vi prego di diremi come avete perso la vostra figlia""","Teseo guardò Achelao con grande meraviglia e disse così: ""O signor Achelao, ti prego di dirmi in che modo hai perso"
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Io spero che messer Iesù vi mandi presto Timoteo, acciocché io sia d'animo buono.","Io spero in Messere Gesù Cristo di mandarti presto il Timoteo, affinché io possa essere d'animo buono.","Spero che messer Gesù voglia mandarmi presto il Timoteo, affinché io sia d'animo buono.","Spero in messer Gesù Cristo, affinché mandi presto Timoteo a voi, affinché io sia di animo buono.","Spero, nel Signore Gesù, di mandarvi presto Timoteo, affinché anch'io possa essere nutrito."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza farlo, il porco selvatico avanza l'uomo d'udire e l'uomo cerviere del vedere.","Senza fatica, l'uomo selvatico avanza per sentire e il lupo astuto per vedere.","Senza paura, lo strano e selvaggio porco, l'uomo avanza per sentire, mentre il lupo, con la sua saggezza, avanza per vedere.","Sanza fegato, il porco selvatico avanza l'uomo di udire, mentre il lupo cerviere avanza per vedere.",Mangialo il maiale selvatico avanza l'uomo di udire è il lupo cerviere di vedere
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Uno luogo si manda lancioni;  la qual cosa i cavalieri lo chiamano capo di porco.,Uno dei luoghi in cui si mandano lancioni; la quale cosa i cavalieri lo chiamano capo di porco.,"Uno luogo viene colpito dai lancioni; la cosa che i cavalieri la chiamano ""capo di porco"".",Un luogo da cui si lanciano pietre; quella cosa i cavalieri la chiamano testa di porco,"C' è un luogo dove si lanciano lanci , che i cavalieri chiamano testa di maiale ."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Tenda le reti ai cervi e sappia bene in quali valli dimora il furioso porco che cinguetta.,Metti le reti per i cervi e sappi bene in quale valle abita il porco furioso che grida.,Metti le reti agli uccelli e sai bene in quale valle abita il furioso porco che svolacchia.,tendi le reti per catturare gli uccelli e sa bene in quale valle il furioso porciglione [o porcello] grida.,Spende le sue reti per i cervi e sa bene in quale valle risiede il maiale furioso.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerò i diserediti cervi con molte e diverse paura, o il porco cinghiale cade a terra con il collo passato allo spiedo.","Ora spaventerò i cervi disperati con molte e diverse paura, o il porco che si aggrappa al collo con il coltello nel terreno.","Ora spaventerai i disperati cervi con vari e diverse paura, o il porco che si rinculla e cade a terra con il collo legato allo spiedo.","Ora spaventerò quei cervi disperati con paura e preoccupazione diverse, o il porco che si mette a cercare il cibo cadrà a terra con il collo su un affilato coltello.","Ora spaventerai i cervi desiderosi con varie e diverse paure, o il maiale cinguettare cacca a terra passato il collo spietato."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Tratta la natura delle cose incorporee le quali, non conversando tra loro all'interno delle corpori, si somigliano così come Dio e le cose divine.","Tratta la natura delle cose incorporee, che non conversano tra loro all'interno delle corporazioni, in modo simile a Dio e alle cose divine.","Tratta la natura delle cose incorporee, che non conversano tra loro all'interno delle corpora, allo stesso modo in cui Dio e le cose divine.","Tratta la natura delle cose che non hanno una forma corporea, che non si comunicano tra loro dentro le corpora, così come Dio e le cose divine.","Parla della natura delle cose corporee che non parlano con il corpo, ma come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, che per cui si dispone e giudica tutte le cose.","Dio, che dispone e giudica tutte le cose.","Dio, per il quale si dispensano tutte le cose e vengono giudicate.","Dio, per cui si dispensano e si giudicano tutte le cose.","Dio, per il quale dispongono e giudicano tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Dov'è che i poeti, parlando di loro, dicono le loro virtù e dicono meravigliosamente le loro difetti, quando alcuna passava l'ordine al loro deputato.","Dovunque i poeti, parlando di loro stessi, dicono delle virtù loro e dicono spesso con magnanimo eccesso degli loro difetti, quando alcuna passava l'ordine loro di competenza.","Dall'alto di loro stesse, i poeti, parlando di sé, descrivono le loro virtù e dicono con grandissima fantasia i loro difetti, quando, per ordine del loro deputato, una delle loro opere passava in revisione.","Dagli antichi poeti, parlando di loro, dicono le virtù loro e dicono fabulosamente le loro debolezze, quando ogni volta che una passava l'ordine ai loro deputati.","Dove i poeti, parlando di loro, dicono le loro virtù e dicono favolosamente i loro difetti, quando qualcuno passava l'ordine al loro deputato"
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa, che è diretta e onesta, e con virtù, penso che sia il bene solo.","E quella cosa, che è diretta e onesta, e con virtù, quella sola penso essere il bene.","E quella cosa, che è diretta e onesta, e con virtù, solo essa credo essere il bene.","E quella cosa, che è diretta e onesta, e che si può ottenere con virtù, penso che sia il bene solo.","e quella cosa, che è diretta e onesta, e con virtù, quella sola penso sia il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti invellavano di giorno qualcuno Romano, allora era la maraviglia vedere come i Piselli si combattevano con il veleno, poiché loro imolarono tutto con la loro saliva","Quando i serpenti si avventavano a morire di giorno, alcuni Romani erano meravigliati di vedere come i psille [ovvero i serpenti velenosi] si combattevano con il veleno, perché loro uccidevano tutto con la saliva loro.","Quando i serpenti attaccavano i Romani di giorno, allora era la maraviglia vedere come i Pisani si combattevano con il veleno, poiché loro impiettavano tutto con la saliva della loro morte.","Quando serpenti invasavano il territorio romano, allora la gente si meravigliava di vedere come i pellegrini si combattevano con il veleno, perché loro uccidevano tutto con la saliva della loro velenosa lingua","Quando i serpenti avvelenavano di giorno un romano, allora era meraviglioso vedere come i Psille si combattevano con il veleno, perché loro immolavano tutto inattivo della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu gli fai direttamente o in culo o in altro modo.","Il poeta dice: oh, che bella cosa è vedere apertamente con gli occhi, quando tu gli fai direttamente o in culo o in altro modo.","Il poeta dice: oh, quanto è bella la cosa di vedere apertamente con gli occhi quando tu lo fai direttamente o in bocca o in altro posto.","Il poeta dice: oh, che bella cosa è vedere apertamente con gli occhi, quando tu fai l'atto di farlo direttamente in posteriorità o in un altro modo.","Dice il poeta: oh, che bella cosa è vedere con gli occhi aperti quando lo fai indietro o sul culo o in altro"
